variant,target,rmse,mae,gaussian_nll,coverage_90,crps,winkler_90,avg_aleatoric_std,avg_epistemic_std,skill_score
full_qingdao,heat_index_c,1.8313,1.3482,1.8982,0.9052,0.9603,7.2921,1.6124,0.5401,0.6248
full_qingdao,wbgt_like_c,1.4152,1.0304,1.6159,0.9058,0.7318,5.5088,1.2378,0.402,0.5615
full_dubai,heat_index_c,1.6817,1.2015,1.7763,0.9127,0.8634,6.7271,1.4906,0.4673,0.8217
full_dubai,wbgt_like_c,0.8454,0.6237,1.1771,0.9175,0.4489,3.5158,0.8084,0.2475,0.8042
full_singapore,heat_index_c,1.1878,0.9258,1.5204,0.9171,0.6488,4.6777,1.146,0.1991,0.5537
full_singapore,wbgt_like_c,0.3889,0.3042,0.4242,0.9035,0.2141,1.5514,0.3664,0.069,0.5485
full_miami,heat_index_c,1.465,1.053,1.6396,0.9211,0.7554,5.8577,1.3666,0.3756,0.7418
full_miami,wbgt_like_c,1.0088,0.6448,1.1027,0.9125,0.465,3.732,0.8159,0.2393,0.626
noattn_qingdao,heat_index_c,1.7977,1.3111,1.8668,0.9052,0.9366,7.1553,1.5788,0.5179,0.6384
noattn_qingdao,wbgt_like_c,1.4092,1.0164,1.5907,0.8989,0.7224,5.4295,1.1774,0.3944,0.5652
nohorizon_qingdao,heat_index_c,2.5018,1.9697,2.305,0.9036,1.3903,10.0639,2.4231,0.4911,0.2997
nohorizon_qingdao,wbgt_like_c,1.7809,1.3623,1.9112,0.9199,0.9613,7.0986,1.7419,0.3869,0.3056
deterministic_qingdao,heat_index_c,1.823,1.3414,3.3385,1.0,2.7098,36.4814,11.0896,0.001,0.6281
deterministic_qingdao,wbgt_like_c,1.4047,1.0102,3.1943,1.0,2.331,31.6748,9.6285,0.001,0.568
