feature,importance_heat_index_c,importance_wbgt_like_c
t2m_c,11.365448,5.874196
d2m_c,14.508322,6.166314
relative_humidity,0.601954,0.229547
skt_c,14.304094,5.897899
sst_c,18.892492,8.426928
sea_air_temp_gap_c,0.560020,0.403871
skin_air_temp_gap_c,1.557530,0.794820
dewpoint_depression_c,0.703421,0.508688
msl_hpa,0.836605,0.236122
sp_hpa,1.061432,0.343981
ssrd_wm2,0.872896,0.216717
strd_wm2,5.443002,1.379831
tp_mm,0.033007,0.000340
u10,0.547807,0.277904
v10,0.521175,0.562501
u100,0.533482,0.277985
v100,0.458285,0.402256
wind10_speed,1.280014,0.628558
wind100_speed,1.993352,0.606955
gust10_speed,0.984939,0.557542
hour_sin,0.728778,0.352165
hour_cos,1.346465,0.705685
doy_sin,2.034355,0.437792
doy_cos,4.374754,3.029446
